anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
9270905,2013-10-06,7115027,"Ipanema 22 nice studio, queen bed,",Ipanema,Entire rental unit,Entire home/apt,2,,1.0,271.0,2,1125,t,2,5.0,f
4307081,2012-12-02,7115731,ipanema barao da torre 605,Ipanema,Entire rental unit,Entire home/apt,4,2.0,2.0,1082.0,1,1125,t,0,,f
37306965,2015-07-02,7123787,"Copacabana - 2 qts e sala, frente!",Copacabana,Entire rental unit,Entire home/apt,6,2.0,5.0,86.0,2,1125,t,13,4.85,f
532498,2011-04-24,7128133,Excelente Flat na Praia do Recreio,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,6,2.0,2.0,500.0,3,1125,t,2,5.0,f
13411812,2014-03-22,7128551,Apartamento Alto Astral com 2 qtos em Ipanema,Ipanema,Entire rental unit,Entire home/apt,6,2.0,2.0,199.0,2,1125,t,15,5.0,f
37370842,2015-07-03,7134566,Eco-pousada Estrelas da Babilônia. Quarto 1,Copacabana,Private room in nature lodge,Private room,2,1.0,1.0,106.0,2,60,t,85,4.82,t
21365765,2014-09-15,7141030,"Apart Ipanema, 2 brd, near the beach - 40% monthly",Ipanema,Entire rental unit,Entire home/apt,3,2.0,2.0,450.0,2,1125,t,80,4.7,t
5448466,2013-03-13,7146985,Beautiful Suite in Ipanema,Ipanema,Room in boutique hotel,Private room,2,1.0,1.0,90.0,1,30,t,129,4.77,t
36534812,2015-06-23,7161196,Praia e Olimpiadas!,Barra da Tijuca,Private room in residential home,Private room,3,1.0,2.0,5000.0,1,1125,t,4,4.75,f
13392098,2014-03-21,7162238,IPANEMA STUDIO IN FRONT OF SUBWAY,Ipanema,Entire rental unit,Entire home/apt,3,,2.0,180.0,3,365,t,19,4.79,f
16038519,2014-05-27,7169188,Room in Barra da Tijuca -RJ,Barra da Tijuca,Private room in condominium (condo),Private room,2,1.0,1.0,136.0,2,1125,t,33,4.76,f
37620718,2015-07-05,7181113,"Copacabana Apartment 2 bedrooms, 1 block beach",Copacabana,Entire condominium (condo),Entire home/apt,8,2.0,2.0,390.0,7,365,t,2,5.0,f
37684825,2015-07-06,7196420,conjugado em copacabana,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,2600.0,1,1125,t,0,,f
37727443,2015-07-06,7205236,Novíssimo- Aconchegante Sala Quarto,Ipanema,Entire rental unit,Entire home/apt,4,1.0,1.0,420.0,6,1125,t,1,5.0,f
37728582,2015-07-06,7205412,Modern Apt in Copacabana,Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,233.0,2,90,t,25,5.0,f
10464160,2013-12-06,7216322,Chez Mireille quarto Perroquet,Copacabana,Private room in residential home,Private room,3,1.0,2.0,128.0,2,1125,t,3,5.0,f
10464160,2013-12-06,7216807,Chez Mireille Quarto Dauphin,Copacabana,Private room in residential home,Private room,2,1.0,1.0,127.0,2,1125,t,4,5.0,f
29469232,2015-03-16,7226825,Hospedagem Barra da Tijuca,Barra da Tijuca,Private room in rental unit,Private room,2,1.0,1.0,200.0,1,7,t,1,5.0,f
37837293,2015-07-07,7227107,Wonderful apartment in Copacabana,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,264.0,3,1125,t,11,4.73,t
23342524,2014-11-04,7240684,Cozy apartment- Ipanema between the Sea and Lagoon,Ipanema,Entire rental unit,Entire home/apt,6,3.0,3.0,404.0,3,89,t,171,4.97,t
17210001,2014-06-24,7244556,Apartamento c/Varandão Próx a Praia,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,6,2.0,3.0,1112.0,3,180,t,0,,f
25113072,2014-12-22,7256752,Apartamento Copacabana posto 6,Copacabana,Entire rental unit,Entire home/apt,3,1.0,0.0,139.0,3,1125,t,0,,t
38149291,2015-07-11,7285108,Amazing View Modern Flat in Ipanema,Ipanema,Entire rental unit,Entire home/apt,6,3.0,4.0,314.0,3,1125,t,118,4.74,f
38164709,2015-07-11,7287719,Apartment between Copacabana and Ipanema with pool,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,280.0,1,1125,t,4,5.0,f
13580277,2014-03-26,7290147,Rio Spot Homes T011,Copacabana,Entire rental unit,Entire home/apt,8,3.0,4.0,524.0,3,90,t,23,4.39,t
38195708,2015-07-11,7292980,Copacabana Beach,Copacabana,Entire rental unit,Entire home/apt,6,3.0,3.0,1071.0,10,30,t,1,5.0,f
